CATAID,RA,DEC,NQ,Z_TONRY,DM_70_25_75
17290,222.81373,0.73842,5,0.0831095,37.8938
17294,222.89406,0.69307,5,0.0651455,37.3364
17314,223.04205,0.78395,5,0.0439578,36.4475
17319,222.99029,0.77472,5,0.0469308,36.5945
17368,223.21432,0.73742,5,0.0993131,38.3058
17385,223.3689,0.83399,5,0.0355859,35.9747
17390,223.30727,0.65653,5,0.0925569,38.1424
17414,223.49681,0.83222,5,0.0434489,36.4214
17445,223.63204,0.79251,5,0.0442371,36.4617
17473,223.72138,0.64041,5,0.0446963,36.4849
17475,223.73711,0.7351,5,0.0441954,36.4596
17477,223.7511,0.7957,5,0.0446353,36.4819
17478,223.78976,0.78157,5,0.0436739,36.433
17517,223.9357,0.73384,5,0.0434612,36.422
21712,173.60214,1.15428,5,0.0191554,34.5991
21731,173.77276,1.21192,5,0.0749008,37.6539
21810,174.20947,1.13583,5,0.075691,37.678
21883,174.63356,1.19482,5,0.0788734,37.7724
21885,174.64656,1.112,5,0.0757299,37.6791
21887,174.65538,1.13893,5,0.0753093,37.6664
21953,175.07727,1.07611,5,0.0782619,37.7546
21990,175.19232,1.1006,5,0.0762992,37.6963
22070,175.65954,1.12266,5,0.0488946,36.6857
22071,175.66138,1.22677,5,0.0761772,37.6926
22121,175.96927,1.07188,5,0.0770277,37.7181
22170,176.27345,1.17195,5,0.029578,35.562
22233,176.76185,1.11741,5,0.0975296,38.2626
22279,176.96547,1.20809,5,0.0952659,38.2081
22356,177.26655,1.07951,5,0.0482588,36.6562
22454,177.58678,1.07313,5,0.0795852,37.7931
22464,177.70477,1.09099,5,0.0861826,37.9764
22480,177.68795,1.1536,5,0.0791239,37.7797
22486,177.82075,1.15493,5,0.0480662,36.6472
22530,177.96705,1.10167,5,0.0902063,38.0818
22554,178.14934,1.19927,5,0.0809541,37.8323
22582,178.19194,1.19479,5,0.0791019,37.7791
22583,178.20573,1.22222,5,0.0817548,37.8549
22589,178.27614,1.19977,5,0.0799023,37.8022
22596,178.31542,1.20459,5,0.0792515,37.7834
22599,178.32969,1.21763,5,0.0783803,37.7581
22638,178.35627,1.20285,5,0.0791712,37.7811
22741,178.90387,1.2372,5,0.00838301,32.7858
22805,179.22593,1.0993,5,0.0406819,36.2728
22834,179.23754,1.11589,5,0.0405716,36.2667
22836,179.29281,1.04958,5,0.0790174,37.7767
22839,179.2427,1.14804,5,0.0403212,36.2529
22844,179.27475,1.12558,5,0.0407916,36.2788
22859,179.27912,1.17828,5,0.0501427,36.7425
22880,179.49839,1.11484,5,0.0658707,37.3605
22881,179.51047,1.15689,5,0.0796368,37.7946
22883,179.51257,1.0906,5,0.0654001,37.3442
22887,179.40258,1.14079,5,0.0374371,36.0869
22925,179.56681,1.21596,5,0.0967868,38.2449
22932,179.63288,1.13195,5,0.0405398,36.265
22935,179.64559,1.08821,5,0.0655598,37.3498
22962,179.72104,1.19805,5,0.0490593,36.6933
23037,179.98266,1.1604,5,0.0795946,37.7934
23070,180.18145,1.18216,5,0.0803745,37.8158
23075,180.1491,1.2063,5,0.0500585,36.7387
23082,180.2103,1.15763,5,0.0798137,37.7997
23104,180.37656,1.19407,5,0.0792322,37.7829
23112,180.37668,1.21373,5,0.0833269,37.8988
23117,180.40768,1.19797,5,0.0831767,37.8946
23118,180.40971,1.18266,5,0.0830665,37.8916
23144,180.43939,1.06877,5,0.0851092,37.9475
23146,180.46565,1.16348,5,0.0831165,37.893
23148,180.49315,1.08751,5,0.0863004,37.9796
23153,180.54957,1.16004,5,0.0860495,37.9729
23180,180.58551,1.1985,5,0.0831157,37.8929
23225,180.873,1.22933,5,0.0217789,34.8829
23265,180.91575,1.20457,5,0.0792294,37.7828
23266,180.90664,1.2057,5,0.0784185,37.7592
23279,180.99693,1.24199,5,0.0838944,37.9144
23319,181.13178,1.1297,5,0.0791083,37.7793
23337,181.22755,1.2156,5,0.0228555,34.9899
23341,181.22768,1.23408,5,0.0795681,37.7926
23346,181.26087,1.17656,5,0.0669131,37.3963
23381,181.39721,1.07899,5,0.0793775,37.7871
23386,181.43243,1.07888,5,0.0873968,38.0087
23391,181.45946,1.05496,5,0.0783861,37.7583
23409,181.4797,1.17254,5,0.0786158,37.765
23483,181.79935,1.19409,5,0.0781434,37.7511
23498,181.87725,1.14729,5,0.0503704,36.7527
23501,181.88991,1.16846,5,0.0781731,37.752
23557,182.10057,1.12415,5,0.0823469,37.8716
23565,182.20694,1.19182,5,0.0383343,36.1398
23587,182.34892,1.24289,5,0.083867,37.9137
23591,182.27584,1.10578,5,0.0264399,35.313
